node_id,land_type,area_m2
11,water,5277.161758075635
121,industrial,5344858.689971242
121,industrial,87529.321722728
97,industrial,765826.3631067295
97,industrial,4776925.8450204125
97,industrial,282823.0176101281
94,water,21878.391094898718
46,park,49969.06984965482
48,park,6803.088344498812
6,park,296.40658582768907
46,park,525.4063312452766
46,park,4597.083571484105
48,park,468.7944847033426
87,park,364.5803209361513
86,park,352.63581230855795
88,park,732.1851382358557
48,park,3062.165591138376
0,park,502.6927595630227
64,park,8690.94290538424
0,park,1755.074922638535
1,park,338.0609188672694
0,park,44.09309536826804
1,park,1118.9173414908282
1,park,5293.968225931504
0,park,4007.83738455175
114,park,965.9049050783824
114,park,243.5466562334119
241,park,2378.6231363106635
7,park,576.1428018829806
7,park,1037.0165095977168
7,park,350.50687176894064
114,park,10305.007855280059
114,park,91.37237836216039
73,park,4685.09628943291
7,park,1655.5862793875344
7,park,480.2535209111561
7,park,661.324145498201
88,park,280.5126200613771
7,forest,2153.266960870758
86,park,1485.0609665416926
88,park,104.66237846075573
90,park,2383.450776740086
232,commercial,13715.474621300982
232,residential,40857.28417028955
107,residential,314412.6451733752
18,residential,946.8141156955545
18,park,4495.2833161212
18,water,16679.630954569402
63,park,331.5044814217111
47,park,265.5712117327786
63,park,564.197632216354
44,park,308.16142984168494
0,park,13240.591252894952
64,park,5583.481896326864
64,park,985.5346964381195
47,park,1272.7901933102135
44,park,4479.6675887529855
64,park,2976.2302051127863
64,park,128.8287212770289
64,park,251.21233181908138
239,park,1430.247017125046
44,park,1935.856108498158
64,park,2236.603188691363
64,park,477.82796938565286
44,park,717.3587638264034
63,park,468.1806204713779
202,park,189.0679737076854
35,park,368.98791965925307
96,park,37.1359824747093
96,park,33.136964966183875
35,park,452.63911937344335
201,park,1347.6463000195683
32,park,887.7991942661201
201,park,81.78142150894317
35,park,193.2206909071354
202,park,1232.410804997292
35,park,329.5399887538223
35,park,2016.651266003143
35,park,1642.8901169544324
96,park,3149.4817305635092
35,park,1329.3122136446345
35,park,97.18618589742098
96,park,126.74214386932687
32,park,2378.691706136299
35,park,446.0093239666048
35,park,256.0051850449223
35,park,463.53735565336126
41,park,1294.5248016173987
35,park,493.4689846648064
41,park,930.2924091719606
35,park,538.29497401124
35,park,166.1787934882875
35,park,373.7973305549061
35,park,329.261097493447
96,park,1014.4849247590794
35,park,715.5597914131222
35,park,383.07833473185747
35,park,2555.34149891672
35,park,1637.2277863770619
96,park,18.37668625324878
96,park,140.22023555516245
35,park,1687.863399235313
41,park,997.9380705403993
35,park,538.0975800553774
35,park,995.4740990582075
202,park,250.3590005586162
202,park,1386.1982041698511
96,park,1631.2903099096102
35,park,619.1331970344579
35,park,208.75642571671452
35,park,1047.1990269383246
202,park,189.3719672848752
202,park,185.20457859212974
32,park,2360.9752124143333
35,park,353.04772655828697
35,park,1168.277640165018
35,park,1473.1156086946046
96,park,176.65702984211507
35,park,2163.4704510551733
41,park,1007.3401128417878
35,park,512.6202097033029
35,park,1929.2171588691558
35,park,1601.2555809075627
18,park,4140.307859668057
95,industrial,2405.0054285488445
95,water,14162.831446001466
155,park,206.38157458258792
11,park,891.7843934245436
33,park,3899.2277347815143
33,park,118.50338728998067
4,park,396.2590759151985
95,park,513.2745220329268
4,park,53.997830922882386
16,park,336.78937733208716
16,park,869.0644931451931
